N,PyTorch (ms),Triton LSEMM (ms),Triton LSEMMO (ms),Speedup LSEMM,Speedup LSEMMO
128,63.49,59.39,58.37,1.07x,1.09x
256,94.21,65.54,65.54,1.44x,1.44x
384,110.59,71.68,71.68,1.54x,1.54x
512,149.50,76.80,76.80,1.95x,1.95x
640,178.18,87.04,88.06,2.05x,2.02x
768,200.70,93.18,95.23,2.15x,2.11x
896,239.62,101.38,104.45,2.36x,2.29x
1024,250.88,111.10,113.66,2.26x,2.21x
1152,279.55,118.78,124.93,2.35x,2.24x
1280,311.30,132.61,134.14,2.35x,2.32x
1408,347.14,139.26,141.31,2.49x,2.46x
1536,359.42,151.04,152.58,2.38x,2.36x
1664,412.67,157.70,159.74,2.62x,2.58x
1792,441.86,169.98,175.10,2.60x,2.52x
1920,448.51,180.22,184.32,2.49x,2.43x
2048,513.02,189.44,192.51,2.71x,2.66x
